Label,log.sigma.2.mm.3D_glcm_ClusterShade,log.sigma.3.mm.3D_glrlm_LongRunHighGrayLevelEmphasis,log.sigma.1.mm.3D_glcm_Imc1,log.sigma.3.mm.3D_firstorder_Skewness,wavelet.HLL_glszm_ZonePercentage,wavelet.LHL_glcm_Correlation,wavelet.HLL_firstorder_Skewness,wavelet.HLL_firstorder_90Percentile,wavelet.HLH_glcm_InverseVariance,wavelet.LLH_glcm_Correlation
1,-0.392825418,1.234504423,-2.055881722,-1.375242274,-1.081510442,1.945826094,-0.412741517,-0.478856819,0.957296592,2.284803755
0,0.331009509,-0.477580048,0.323491016,0.862044649,0.379619827,-0.125875908,-0.905639475,-0.197519421,-0.373098949,-0.389276116
0,0.313594025,-0.345855398,-0.468463768,-0.031855217,-0.422976689,-0.964266068,-1.108376407,-0.186398334,-0.47913214,-0.114686239
0,0.306110838,-0.354074589,-0.736506305,-0.236337825,-0.993452068,-1.620062856,-0.440132656,-1.21533394,0.895316416,-0.452361859
1,0.092749135,-0.209020919,-0.399451872,0.205932451,-0.892296266,-0.647610515,0.339544756,-0.06308459,-0.030998216,0.969453278
0,0.320191503,-0.422744522,0.709005802,-0.669943008,0.409873857,-0.197801508,0.838534518,0.921254508,0.18164932,-0.354768137
0,0.331343611,-0.438790557,0.288031843,-0.194098208,-0.063846311,0.300926946,-0.381237267,-0.469829496,-0.356987672,-0.406159869
0,0.331931393,-0.541318885,0.416639713,1.100767077,0.864839381,0.095187049,-1.034256373,0.513676427,-0.06407971,-0.542220445
1,0.024243635,-0.011668452,-0.728235491,0.38507213,-0.242519212,0.613199846,-0.329701381,-1.226159537,0.065740629,0.978993154
0,0.293207435,-0.262081112,-0.258767265,-0.655800022,-0.703408553,-0.220443997,-0.366444362,-0.332020283,0.997610755,-0.291028727
1,-13.19145379,8.842403147,-1.535147699,-1.912860879,-0.130653785,3.43390012,-2.33708638,-1.665474842,0.855256237,3.640768297
0,0.093200969,-0.374352115,-0.977095954,2.448085247,2.912980164,-1.624813966,-1.298742169,-2.266705484,0.246574656,-1.690250541
1,0.04403922,0.408517542,-0.736073471,-0.418264298,-0.970083675,-0.367027624,0.039707098,-0.113336898,0.680593393,-0.500703145
0,0.311334822,-0.399519711,-0.044690503,-0.791169749,-0.708262171,-0.444238566,-0.417964721,-0.828809499,0.580971445,-0.712178039
1,0.005947229,0.274824261,-1.57653872,-0.124072764,-1.596897449,1.495902522,-0.379919849,-0.858903116,1.14570438,0.01728717
0,0.330797013,-0.491578989,0.997699663,0.097318228,0.4655558,0.043399914,0.136074206,1.516609543,-1.39148652,-0.862204551
0,0.093092715,-0.239021475,1.282066424,0.387764193,0.771589071,-0.083449455,-0.308109554,1.012683186,-1.366878544,-0.384838673
0,0.096437484,-0.301648557,0.538566835,1.685341494,1.740658245,0.379903401,-1.079688762,0.481513383,-0.937875874,-0.314741743
0,0.282990225,-0.343296687,-0.729979558,-0.603406909,-0.281213117,-1.002905432,-0.095042741,-0.276456994,1.093993348,-0.443331563
0,0.323164728,-0.388109143,0.742342811,-1.337020528,-0.141923862,-0.462545422,-0.628760173,-0.130446953,-0.210551353,-0.572402149
0,0.321010494,-0.230582165,0.623802918,-0.727189481,-0.895705951,-0.543402758,0.391323725,0.341471998,0.217320793,-0.598690997
1,-1.661873309,2.447163675,-2.007061931,-0.718881089,-0.832618552,1.306043247,-0.319242166,-1.198440306,0.89575577,2.102428818
0,0.092765558,-0.343392223,0.252995995,2.488783132,0.524597526,0.472279265,0.085466209,-1.691879705,-0.4558698,-1.631237281
0,0.317708787,-0.423021813,0.214811448,-0.256807447,-0.52762692,-0.359562588,0.122497436,-0.368049014,0.576819529,-0.877618178
1,-2.115837403,1.210988638,-1.201827121,-1.223013172,0.72605444,0.88838288,-0.658750652,-0.298749563,0.867765003,1.867519984
0,0.329610878,-0.49903398,0.562763015,0.701234619,0.161336821,0.238363586,-1.469486535,-0.122951688,0.024302912,-0.340329755
1,0.330387629,-0.523295633,-0.079070694,0.723059229,-0.336222534,-0.592732692,0.531656214,-0.868802715,1.489756598,0.017555838
1,-2.063191833,3.608275661,-2.018545809,-0.078460342,-0.805579619,5.157072262,-0.357536125,-2.918352503,0.814947128,3.386286054
0,0.325580703,-0.469606424,0.74680927,-0.350371971,0.601072108,0.477633734,-0.599943382,-0.261034936,-1.153829646,-0.641452016
1,0.09245742,-0.326953852,0.856918049,0.63229799,1.612477953,-0.161494101,0.096176136,0.687845289,-1.045817344,0.209464892
0,0.074009359,-0.121628104,-0.027295747,-0.50175068,-1.298907965,-0.30949051,-0.591360139,-0.736934806,0.959587443,-0.834005693
1,-0.124607896,1.549811644,-1.437063595,0.84716566,-0.810385782,2.82523943,0.41910005,0.290785298,0.736033743,2.477752973
0,0.094324595,-0.25110291,-0.305522032,0.744484913,-0.20547174,-0.120405461,-0.593260465,-0.698198029,-1.177585461,-0.23027516
0,0.319314929,-0.249803106,0.298228657,-1.212116668,0.046009005,-0.548900643,1.726032759,0.663027185,0.520230428,-0.903411158
0,0.084341469,-0.231068554,0.199507648,-0.1574363,0.115047229,-0.604811887,0.289094876,0.108577084,-0.137745916,-0.168110737
0,0.327568888,-0.369923205,0.84770448,-0.700583051,-0.388754016,0.307194322,1.0949178,0.706667755,-0.374862293,-0.730443766
1,0.086549479,-0.120360333,0.50586814,-1.757569988,-1.115706648,0.026104024,-0.83335857,0.045254779,0.10903568,0.534363356
1,0.039933194,2.605798943,-1.820938234,0.848646731,-1.386564201,3.054484162,-0.412850783,-2.191832844,0.585677094,2.642107179
0,0.333995681,-0.535477399,0.54049535,1.789731501,0.802656525,-0.440414309,0.108364541,-0.835736837,0.361273109,-0.096690646
1,0.092771872,-0.289509376,0.442285921,2.599722019,1.546678723,-0.039914519,-0.962956527,0.836831805,-1.018847991,-0.798716316
