batch,Label,log.sigma.1.mm.3D_glcm_MCC,wavelet.LHH_glrlm_RunEntropy,log.sigma.1.mm.3D_glcm_Imc1,wavelet.HLH_glcm_Correlation,wavelet.LLH_glszm_GrayLevelVariance,wavelet.HLL_firstorder_90Percentile,log.sigma.2.mm.3D_glcm_Imc1,wavelet.LLH_glcm_Correlation,wavelet.HLL_glszm_ZonePercentage,wavelet.LLH_firstorder_Kurtosis
2,1,0.897158434,-0.327447081,-0.757064807,-0.639335724,-0.233467004,-0.179245934,0.458141258,-0.305147748,-0.775783973,-1.672936656
2,0,-0.756482509,0.981499698,0.84770448,0.226508911,-0.178818538,0.706667755,-1.064696737,-0.730443766,-0.388754016,-0.82164148
2,0,-0.264830084,2.284360208,0.338152048,0.201373694,0.28895844,-0.421685823,-0.710951169,0.125089499,-1.083770817,-0.640907631
2,0,-0.394345918,-0.550128591,0.409904824,0.038501685,-0.1494643,1.115522054,0.414187038,-0.06318458,0.234212151,0.907716905
2,0,-0.536054402,0.667805411,0.300846838,-0.050660914,-0.881132499,-0.123185685,0.337954325,0.281498674,0.327165761,-1.252409563
2,0,-0.873059758,-0.240449598,0.82169835,-0.118631137,-0.719311546,-0.877820555,0.048926851,-0.347774548,-0.334332365,-0.78078185
2,1,-0.575088983,1.20104097,0.657759576,-0.118377749,0.348479405,-0.29478504,-0.378494663,-0.280749157,-1.027783228,-0.315046249
2,1,1.889859485,-0.101921072,-2.088682382,-0.366801562,0.842244227,-1.160675797,-0.591555124,2.090781804,-1.363612129,-0.996868647
2,1,2.111318944,0.585805902,-2.363980937,-0.101137068,0.442170886,-0.389490251,-1.382241566,0.27928353,-1.18932122,0.386883081
1,0,-0.272008518,-0.480499886,0.316603208,0.13336708,-0.86749008,-0.506581151,-0.03993016,-0.342922871,-0.787564846,-0.974187945
1,0,-0.544907612,-0.101391411,0.769817628,-0.034037189,-0.203503589,0.176047279,0.469691874,-0.534710102,0.757953873,-0.233950961
2,0,-0.572261655,-0.390666994,0.709005802,0.238874659,-0.171647021,0.921254508,-0.045313178,-0.354768137,0.409873857,-1.09582985
2,0,-0.408357896,-1.831318306,0.190805639,0.100988471,-1.332401491,0.402282864,1.805875934,0.218769313,0.618612575,-0.377533044
1,0,1.316963095,-0.402385045,-0.976906027,0.223347644,0.132649864,-0.149056407,-0.295950076,-0.289224278,-1.061363045,-0.646994641
1,1,0.09136422,0.231460565,0.029096673,-0.144296387,-0.117027095,0.716686947,-0.426423577,-0.733856011,-0.116825061,0.762563355
2,0,0.383410779,-0.232390055,-0.332335249,-0.161982807,-0.147186788,-0.558082265,-0.0160798,-0.463988469,-0.724317934,0.054123421
2,0,-0.319637269,-3.210825873,-0.217042754,-1.292725819,-0.3430247,0.411945387,2.609891576,-0.337645354,2.63599954,3.726198265
2,0,-0.49639968,-3.192758475,0.287322556,0.938313476,-0.850909338,0.674636684,1.820106284,-1.264274702,3.124793742,-0.473443732
2,0,-1.022252179,-1.944791742,0.77548005,-0.109824974,-1.388168578,-0.393154295,1.577383576,-0.23767252,1.194457294,-0.63599496
2,0,-1.064513222,-0.149832562,1.006151515,-0.273950789,-0.707476841,0.322760922,-0.00598629,-0.627655204,0.367207136,-1.381251777
1,0,-0.28978721,-0.403644478,0.350132148,-0.781906411,-0.405262243,0.834105163,-0.352348933,-0.992252628,0.998351907,-0.476162025
1,0,-0.489914117,1.585804678,0.696950128,0.011461173,0.278541457,1.543473198,-0.688098945,-0.557919584,-0.138652488,-0.489291986
1,0,-0.471098582,0.127155722,0.460679838,0.274554989,-0.284923117,0.541976928,-0.257998923,-0.181924305,0.289244494,-0.858740996
2,0,-1.172804566,0.024589571,1.120226719,0.269649695,-0.320216157,2.279887783,1.163458199,0.038829618,0.589119758,-0.257734631
1,0,-1.141682058,0.578341501,1.236105643,0.610765696,-0.291217497,1.196895402,-0.212659593,-0.457015463,0.846387042,-1.034908512
1,0,-1.299785062,0.209382768,1.282066424,-0.0565425,-0.056873407,1.012683186,-0.278651091,-0.384838673,0.771589071,-0.048067314
1,0,-1.177342085,-0.602251982,1.182282735,-0.286369802,0.02739222,3.342072562,0.409445074,-0.32057991,0.948622466,1.310366107
1,0,-0.573775365,-0.734406971,0.252995995,0.746209057,-0.858072076,-1.691879705,2.154126653,-1.631237281,0.524597526,-1.968306323
2,0,-0.595774603,-1.39810282,0.4993417,-0.716703596,-0.714841244,1.952429722,1.625285182,-1.345205265,0.637308141,-0.950080324
2,0,-0.977681511,0.907937204,0.905422416,0.257105428,-0.387167846,0.065356624,1.034810055,-0.431469161,-0.207303693,-0.560291333
2,0,-1.058940853,0.226255515,0.997699663,-0.412099171,-0.126355311,1.516609543,0.474030411,-0.862204551,0.4655558,0.164674559
2,0,-0.51983783,-0.52367431,0.415735881,-0.495683835,-0.815335025,-0.65762256,1.635405176,-0.909244196,0.485305061,-1.411857976
1,0,-0.171278651,-0.787876905,0.199507648,0.265764124,-0.023256187,0.108577084,1.02133431,-0.168110737,0.115047229,1.20376799
1,0,1.502678063,-0.180946576,-0.997810213,0.006697809,0.91155739,-0.81892069,0.520319548,0.457567005,-0.6701665,-0.208608683
1,0,-0.735724996,-0.152173972,0.782709274,-0.150507473,0.451076435,-0.044939976,0.747393642,-1.01597568,-0.258599841,0.328924908
1,0,-0.50554031,-0.826339929,0.532171284,0.828112336,-0.321709478,-0.467857924,-0.462917221,-0.244404112,-0.217729228,-0.353989657
1,0,0.208233164,0.44593643,-0.027295747,-0.273313544,-0.233957009,-0.736934806,-0.706567263,-0.834005693,-1.298907965,0.632056407
1,0,-0.588185589,-0.381139382,0.56596295,0.477110319,0.407401926,0.100816344,0.490453204,-0.980449693,0.325489827,-0.44857098
1,0,-0.540508739,0.190477677,0.495593792,-0.292798415,-1.01977539,0.863146893,0.165832014,0.480994824,-0.319387127,-1.453343515
2,0,-1.166605544,-0.44862219,1.065669175,-0.345842061,0.025317343,2.910174857,0.351212729,-0.220401756,1.49692343,-0.244677917
2,0,0.059349892,-0.354263669,-0.712201596,0.262552316,-0.099523857,1.1450548,-0.7466029,1.122917354,0.052318071,-0.738039247
2,0,-0.193779377,0.027330385,-0.231398855,-0.187285867,-0.332928489,-0.55770574,0.382512283,-0.211417756,-0.323186957,-1.500554256
2,1,-0.502255794,1.465479564,0.786400259,-0.055359098,0.235746563,0.596384284,-1.698990959,-0.369198276,-0.152063214,-0.049264391
1,0,-0.128570877,-0.764583846,0.338457832,0.819118358,-0.057489974,-0.701122297,0.856242366,0.128260534,-0.31615052,-0.008774185
2,0,0.199934068,0.307017979,0.178891999,-0.188347382,-0.028012524,-0.319078829,-0.113139691,-0.82155319,-0.619173243,-0.276944514
2,0,-0.441202953,0.551208262,0.625349171,0.506683729,-0.488007701,1.83052388,0.499681967,-0.661220283,0.398114739,-0.694378284
2,0,-0.642558554,1.050636842,1.007767404,0.565474963,0.09436703,2.061857349,1.092406533,0.175577821,0.730320891,0.122594531
2,0,-0.684958528,-1.071721011,0.288031843,-0.158131464,-0.032033572,-0.469829496,1.09505972,-0.406159869,-0.063846311,1.14202439
2,0,-0.74080621,1.043693424,0.794944598,-0.060317017,-0.096551638,-0.012882495,-1.785442109,-0.716889929,-0.471916909,-1.082833422
2,0,-0.785109831,-1.420787017,0.54049535,-0.417926658,-1.590991415,-0.835736837,1.066322983,-0.096690646,0.802656525,-0.578533163
2,0,1.307496977,0.917010186,-0.889372414,0.172135123,0.66453788,0.561939533,-1.431693476,-0.531254819,-0.640720829,-0.529527485
2,0,-0.241522155,-0.058103785,0.162934707,-0.054613888,-0.781106626,-1.424114416,1.185988854,-0.45513676,0.683019576,-1.062393661
2,0,-1.130257731,-1.249021084,0.790675199,-1.157939123,-1.071514136,-0.353855897,1.858405173,-0.055422323,0.818573838,0.319758223
2,0,-0.210771012,-0.718214785,0.30773542,0.88538136,-0.933402078,-1.325309808,0.334445604,-0.943106246,-0.810294016,0.796142895
2,0,0.455173398,0.491679615,-0.258767265,0.010624406,0.019399742,-0.332020283,-0.554937516,-0.291028727,-0.703408553,-0.091742506
1,0,-0.930614738,0.740290822,1.002349218,-0.33296918,-0.344825781,0.694559066,0.614063937,-0.490297515,0.609792979,-0.139184628
1,0,0.888715139,0.114420413,-0.639686728,0.167589592,0.064672476,-1.281637929,0.025925214,-0.092700116,-1.339150533,-0.558948462
1,0,-0.753954869,-0.374815666,0.730865563,-0.128292099,-0.791165191,2.29078311,1.295592063,0.041555367,1.6179234,-1.482331214
2,0,1.768823722,-0.182015886,-1.501081832,0.626905103,1.261773514,-1.097284469,0.375460303,0.660421973,-0.635516068,-0.850527111
2,0,-0.900522229,1.206709213,0.738639734,-0.343031769,-0.19495722,-0.623725229,-0.474914916,-1.392541919,-0.272325944,0.086962068
2,0,0.588893989,0.324689642,-0.736506305,-0.410262438,0.424568887,-1.21533394,-0.127406982,-0.452361859,-0.993452068,0.883791355
2,0,-1.017207995,-0.070139117,0.830412927,-0.265491086,-0.307616121,-0.186981546,1.028907175,-0.993964365,0.598616438,1.233880852
2,0,-0.573261465,-0.555297571,0.562763015,-1.216762331,-0.718436402,-0.122951688,0.774311093,-0.340329755,0.161336821,0.830723698
1,0,-0.838718514,1.596573708,1.047625764,0.276961316,0.038722334,1.240933472,-0.97485292,0.030439452,-0.034960706,-0.544425233
1,0,-0.436261871,0.111576417,0.695647699,0.274532164,-0.114029303,0.143438124,-0.404289959,0.159968483,-0.19141083,-0.561953165
2,1,-0.253130003,0.378461245,0.40080277,-0.291269636,0.10543088,-0.070384984,-0.912167585,-0.940737891,-0.631627782,-0.803189604
2,1,0.909391207,0.286662123,-0.733032177,0.379546642,0.061379512,0.181788009,-0.554380294,-0.494707201,-0.442360764,-0.601513344
2,1,0.092501916,-0.241236622,-0.110323718,-0.376270145,-0.144904411,-0.534297498,-0.56623095,0.100929333,-0.784052556,-0.135261793
2,1,0.142574908,-1.612885249,-0.216331954,0.055279173,-0.7268177,-0.033762118,-4.680814606,-0.835330934,-1.157435352,2.525259341
2,1,0.674291747,1.421381288,-0.455216182,0.040006913,0.440513981,0.127142391,-3.211600561,-0.153312506,-0.855549453,0.323963941
2,0,-0.730681965,0.140394778,0.841935867,0.459528579,-0.872493399,1.317605504,-0.229225722,-0.317537273,-0.333969427,-0.693254299
2,0,-0.357446612,-0.129715986,0.546714296,-0.759244778,-0.467965937,-0.489344197,-0.352161941,-0.846441014,-0.341485126,-0.136852687
2,0,-0.696719336,-0.35715713,0.742342811,-0.336650232,-0.568173574,-0.130446953,-0.59131102,-0.572402149,-0.141923862,-0.77081364
2,0,-0.657048618,0.504352238,0.687155245,0.007605883,0.313312183,0.39531291,-0.649238124,-0.397399499,0.07242208,0.885304907
2,1,1.490397692,-0.969658074,-1.335671097,0.576661578,1.219119719,-1.468722098,-0.099966609,2.756999397,-0.714462519,-0.37510525
2,1,2.364177823,0.554995004,-2.007061931,0.138800576,1.762960005,-1.198440306,0.211588837,2.102428818,-0.832618552,0.446696422
2,0,1.25023416,0.486908402,-1.212082823,0.12283333,0.002488616,-0.38850023,-0.648471196,-0.418860071,-0.853813762,0.862793104
2,0,-0.825020076,-0.602114555,0.74680927,-1.515107363,-0.85653182,-0.261034936,0.151175001,-0.641452016,0.601072108,-0.930498854
2,0,-0.865094017,1.515426487,0.920862922,0.05038363,-0.265420302,-0.054411682,-1.208744604,-0.24898253,-0.692244592,0.146794515
2,0,-0.263507188,0.942370287,0.298228657,0.178591874,-0.713090342,0.663027185,-0.646908652,-0.903411158,0.046009005,-1.393709136
