batch,Label,log.sigma.1.mm.3D_glcm_MCC,wavelet.LHH_glrlm_RunEntropy,log.sigma.1.mm.3D_glcm_Imc1,wavelet.HLH_glcm_Correlation,wavelet.LLH_glszm_GrayLevelVariance,wavelet.HLL_firstorder_90Percentile,log.sigma.2.mm.3D_glcm_Imc1,wavelet.LLH_glcm_Correlation,wavelet.HLL_glszm_ZonePercentage,wavelet.LLH_firstorder_Kurtosis
1,0,-1.159054916,-0.46492806,1.190890635,0.071037555,-0.460960803,1.046620832,0.002059971,-0.550218414,0.591010281,0.330727789
1,0,-0.609077712,0.918368807,0.71644621,-1.214573493,0.441335079,1.139607683,0.883405559,-0.544209701,0.666978372,2.039299843
1,0,-0.656878779,-0.805527356,0.818877483,0.391273184,-0.179750774,2.125010479,-1.61182871,-0.171177733,1.128832533,1.171141513
1,1,-0.893891287,0.800546475,0.682511852,-0.756888111,-0.393850417,-0.614821295,0.657046836,0.045583028,-0.315901623,-1.008168115
1,1,-0.387840327,0.755790941,0.492011699,0.072384108,-0.212738249,1.834224976,0.10867919,0.535025589,-0.230870348,-0.641755434
1,1,1.324907392,0.789330805,-1.303955958,0.18233926,0.160502314,-1.017945092,-2.413613975,-0.375937695,-1.294597188,0.585254596
2,0,-0.843219428,1.039193396,0.882725644,-0.323960132,-0.287869298,-0.314292341,0.592755821,-0.772220888,0.24108388,1.213603966
2,0,-0.03310989,-0.420064286,0.086093142,1.421483011,-0.478554977,1.901305155,-0.334763565,0.918166783,1.819280468,0.587440988
2,1,1.287143477,-0.75995695,-1.142564004,0.589135836,0.250257619,-1.279267321,0.108810971,1.254443059,-1.090662978,-0.202385833
2,1,0.784689473,-0.399834746,-0.682710455,-1.16067562,-0.186226479,-0.170078909,0.422242733,-0.259260399,-0.922009325,-1.647933429
2,0,-0.787217946,1.04148174,0.872433697,0.382114782,-0.137489236,0.701304371,-0.981224733,-0.648311005,-0.460298765,-0.806483373
2,0,-0.319866132,2.476096471,0.378638426,0.337328027,0.279689179,-0.408542395,-0.655208178,0.134310325,-1.289424756,-0.627839688
2,0,-0.442980464,-0.645035343,0.448172353,0.047117333,-0.111310191,1.103452803,0.381733947,-0.037918291,0.282873831,0.902875204
