V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
-0.0047986801,1.1814885165,-1.2196862181,-0.0293255408,0.3631062865,0.6880057556,-0.3482539368,-0.1014282244,0.6265264470,-0.3746586456
-0.0058060401,1.0853301209,-1.0990903153,0.0620792619,-0.2626918243,0.8451162143,-0.0164483676,0.0539926696,1.0979999513,0.3981208189
-0.0054679248,0.1898057839,-0.5046285071,-0.8984035839,2.4145958816,0.4688100783,0.0545028793,0.5379608019,0.5413360946,2.3575185961
0.2536434360,0.5722528906,-0.6659747904,-0.6921861728,0.9717088273,0.7473194396,0.3926449963,-0.4941469782,0.5210373658,1.5116975104
0.2540925447,0.9951447123,-1.0532638687,-0.3898688508,-0.4848072093,-0.2552008542,1.5010133856,-0.2995952908,-0.0298515172,0.9801910859
0.2540865985,1.0912420929,-1.1356683893,-0.1492385537,0.1168119501,0.5434563153,0.1621453562,0.0439484805,0.0875448122,0.4754145595
0.2534779733,0.4851859216,-0.5889678491,-0.7849035278,0.2470139610,0.5668978942,-0.3348450907,0.3108911375,0.3416665513,1.5208068557
-0.0227005584,0.1382607501,-0.1082035280,0.0071398066,-0.1692416699,0.1053496419,0.2628816497,-0.7012774057,0.3077979690,1.0853146446
-0.6265667560,-1.0155567289,1.5405012497,1.0211529167,-0.1676731821,-0.5914979167,-0.7961010877,0.6602696232,-1.4333096243,0.5226405023
-0.0035679611,0.7002737725,-0.6641350990,0.5216589675,1.3523012034,-0.2262480351,-0.2283779303,0.0812671137,-0.5588363640,0.7776603755
-0.0387461800,0.4588382094,-0.4374227901,-0.3165991262,-1.7726914789,-0.1899769081,-0.2462612366,0.0573754460,-0.7644378085,-0.5816022219
-0.0438363115,-0.0803025320,0.2655832834,-0.2214120684,-0.5054391952,-1.1494822447,-0.6381119882,-0.3614978678,0.6524544339,-0.8552380283
-0.0124009978,0.4914021727,-0.5188213503,0.4742842548,0.4088195091,0.2921095077,0.4662598813,0.1269602451,-0.8229927768,0.4890985375
-0.0090714976,0.4235896334,-0.4718637141,-1.0738067705,0.5333040322,-0.2801944580,1.9917073215,0.0384902774,0.5606690614,0.1245265458
0.2543925700,1.1620254362,-1.2448503864,-0.0093026576,0.0222182460,1.7676482314,1.4462364283,0.0829793173,0.1957214257,0.3648622534
0.2542678239,-0.6894464007,-0.0016177009,-0.1244833756,0.9933415706,0.0529597430,-1.7731764044,-0.3359083364,0.2514764980,-0.6233183372
0.2543610438,-0.1887391791,-0.2583142917,-0.3398266525,0.2039049317,-0.3927496301,-0.3582407141,-0.3340143847,0.9049150687,0.3930360295
0.0910067445,0.9160483372,-0.5876042722,0.2559888494,-0.6587105333,-0.0456863177,0.6385427517,-0.1887205947,0.2832290817,-1.5532999636
-0.0391937328,0.2721626622,-0.0661400084,-0.0299943447,0.3519409642,-0.2773220914,-0.0740484937,-0.4923584005,0.0506562872,0.8999050019
0.2345952026,0.2385370738,0.1409477118,-0.0585057442,-1.5205923575,-0.7440734530,-0.5030512057,-0.4590120695,-0.0835281157,-0.0531169013
0.2484322383,0.7034768736,-0.5092247798,-0.4829054998,-0.0341017698,0.4634064870,2.7267758872,-0.5703249357,-0.3110273765,0.4985043836
0.2541096235,1.1017266226,-0.7134180622,0.0544038154,0.4703142764,0.8577218348,1.2670788519,-0.3851262318,0.3669442100,1.0320356035
0.2544882523,0.3521951364,-0.7564155742,-0.0622156348,-0.1817749533,-0.0849227087,-0.3413019921,0.2708520515,0.8181938165,1.0344238259
0.2443670482,0.8800932857,-0.8130503112,-0.1217411533,-1.4388550753,-0.5692861042,-0.2245557719,-0.5762440267,0.5019432226,-1.5584122783
0.2564370589,0.6151102373,-0.8579782980,-1.5005379493,1.8508680151,0.9435813245,0.1351783197,-0.3823336619,2.1216413565,1.0085569271
0.1441484253,-0.8739518131,1.2641193779,0.5804536122,-1.7713118751,-0.7696495714,1.2783266244,0.3455089895,-1.3063049032,-1.2399912941
0.2525520699,0.2219191749,-0.3067299032,-0.7533237963,0.9149533879,0.8015770754,-1.2728870296,-0.7819358246,0.2046368318,1.1162721827
0.2550992215,0.8756471402,-1.2079903278,-1.0212589453,2.0471333871,0.9624745352,0.1773195748,-0.9549490733,1.9017678426,1.7215366167
0.2478181327,0.3727144106,-0.2755453879,-0.8938342969,-0.1325648373,-0.9709261276,0.3955083229,-0.4759530661,1.5935896807,0.3497696030
